imagen,precio,titulo
https://www.fybeca.com/images/thumbnail/210184.jpg,19.80,gerimax instant energy tabletas
https://www.fybeca.com/images/thumbnail/100188232.jpg,5.70,neurobion tabletas recubiertas c/30 suelta
https://www.fybeca.com/images/thumbnail/100070608.jpg,12.99,panvit jarabe 120 ml
https://www.fybeca.com/images/thumbnail/234444.jpg,10.80,densibone d g-tabs.
https://www.fybeca.com/images/thumbnail/94111.jpg,12.60,densibone d soya.
https://www.fybeca.com/images/thumbnail/94110.jpg,9.90,densibone d tabletas 
https://www.fybeca.com/images/thumbnail/4563.jpg,2.68,vitamina c  (mk) gotas fresa f/30 ml.
https://www.fybeca.com/images/thumbnail/301573.jpg,12.00,calci-vit forte suspension frasco 240ml
https://www.fybeca.com/images/thumbnail/75458.jpg,19.08,cebion tab.mast. mandarina 500mg c/12 sueltas
https://www.fybeca.com/images/thumbnail/4031.jpg,19.20,cebion tabletas masticables naranja 500mg
https://www.fybeca.com/images/thumbnail/98575.jpg,7.48,mulgatol jalea banano t/100 g
https://www.fybeca.com/images/thumbnail/2370.jpg,7.48,mulgatol jalea 8 vitaminas t/100 gr.
https://www.fybeca.com/images/thumbnail/158406.jpg,9.60,z full 
https://www.fybeca.com/images/thumbnail/158407.jpg,35.10,visovit comprimidos recubiertos
https://www.fybeca.com/images/thumbnail/206192.jpg,12.60,vitamina e-plus 500 u.i.
https://www.fybeca.com/images/thumbnail/206193.jpg,18.00,"gelcavit q-10 - vitaminas, minerales y coenzima q-10"
https://www.fybeca.com/images/thumbnail/206194.jpg,8.10,gelcavit students.
https://www.fybeca.com/images/thumbnail/100164459.jpg,15.61,dr vit adult gomitas multivitamin 120 gr f/60
https://www.fybeca.com/images/thumbnail/100164458.jpg,15.61,dr vit kids gomitas multivitamin 150 gr f/60
,12.00,tocovit - e  1000u.i caps liquidas
https://www.fybeca.com/images/thumbnail/301.jpg,2.20,complejo b (q.a.) otc grageas. c/20 suelta
https://www.fybeca.com/images/thumbnail/4541.jpg,2.55,complejo b (q.a.) otc jbe. f/120 ml.
https://www.fybeca.com/images/thumbnail/151664.jpg,6.50,apetitol plus 120 ml.
https://www.fybeca.com/images/thumbnail/95715.jpg,16.50,diabion
https://www.fybeca.com/images/thumbnail/156910.jpg,19.80,biometrix a-ox antioxidante capsulas
https://www.fybeca.com/images/thumbnail/95768.jpg,19.80,biometrix - multivitamínico cápsulas
,16.50,perlavit-e capsulas 1000 ui
,4.50,perlavit-e  capsulas 200 ui
https://www.fybeca.com/images/thumbnail/100156647.jpg,17.40,vitango comprimidos rec. 200mg c/30
https://www.fybeca.com/images/thumbnail/205929.jpg,10.19,z full vainilla 300 gr
https://www.fybeca.com/images/thumbnail/205928.jpg,10.19,z full fresa 300 gr
https://www.fybeca.com/images/thumbnail/100164456.jpg,18.43,dr vit kids gomitas fibra 120 gr f/30
https://www.fybeca.com/images/thumbnail/100164457.jpg,18.43,dr vit adult gomitas fibra 120 gr f/30
https://www.fybeca.com/images/thumbnail/100164460.jpg,18.58,dr vit kids gomitas probioticos 150 gr f/60
https://www.fybeca.com/images/thumbnail/100164455.jpg,18.58,dr vit adult gomitas probioticos 150 gr f/60
https://www.fybeca.com/images/thumbnail/100132632.jpg,3.60,orange c tabletas efervescente 1g + zinc
https://www.fybeca.com/images/thumbnail/100132633.jpg,9.80,orange c 1g + zinc 14mg tabletas efervescentes x3
https://www.fybeca.com/images/thumbnail/100124639.jpg,4.95,orange c 1 g + zinc 14 mg c/10 sobres
https://www.fybeca.com/images/thumbnail/100159283.jpg,8.95,dha kids suplemento alimenticio 15 ml
https://www.fybeca.com/images/thumbnail/271038.jpg,4.99,apetitol jalea sabor a naranjilla tubo 100 gr
https://www.fybeca.com/images/thumbnail/271037.jpg,4.99,apetitol jalea mango 100 gr
https://www.fybeca.com/images/thumbnail/163986.jpg,4.99,apetitol jalea 100 gr.
https://www.fybeca.com/images/thumbnail/4680.jpg,7.50,apetitol 240 ml sabor a naranja
https://www.fybeca.com/images/thumbnail/4679.jpg,4.99,apetitol 120 ml con sabor a naranja
https://www.fybeca.com/images/thumbnail/3.jpg,12.60,dayamineral tabletas 500 mg frasco 30 unidades
https://www.fybeca.com/images/thumbnail/4.jpg,12.00,dayamineral jarabe frasco 240 ml
https://www.fybeca.com/images/thumbnail/100138434.jpg,4.30,fortichem jalea 90g
https://www.fybeca.com/images/thumbnail/49993.jpg,15.12,la sante - vitamina c mandarina 500 mg 12 sobres de  12 tabletas masticables cada una 
https://www.fybeca.com/images/thumbnail/49992.jpg,15.12,vitamina c (la sante) tabs. mast. chicle c/12 sob. sueltas
